district_name,,available_electric_bikes,available_mechanical_bikes,available_bikes,available_docks,status,last_update
Chaville,50%,2.0,1.0,4.0,16.0,1.0,2023-05-31 09:12:49
Chaville,75%,4.0,2.0,6.0,19.0,1.0,2023-06-02 21:08:18
Chaville,max,14.0,7.0,16.0,23.0,1.0,2023-06-03 21:35:37
Chaville,std,3.2547660230349624,1.4935754405645858,3.604368124187501,3.7418911053162347,0.0,
Choisy-le-Roi,count,921.0,921.0,921.0,921.0,921.0,921
Choisy-le-Roi,mean,11.373507057546146,8.591748099891422,19.965255157437568,5.657980456026059,1.0,2023-05-31 14:28:24.628664576
Choisy-le-Roi,min,2.0,4.0,6.0,0.0,1.0,2023-05-28 10:50:33
Choisy-le-Roi,25%,8.0,6.0,16.0,3.0,1.0,2023-05-29 13:20:33
Choisy-le-Roi,50%,10.0,7.0,20.0,5.0,1.0,2023-05-31 09:12:48
Choisy-le-Roi,75%,16.0,11.0,25.0,8.0,1.0,2023-06-02 21:08:18
Choisy-le-Roi,max,25.0,17.0,32.0,19.0,1.0,2023-06-03 21:35:37
Choisy-le-Roi,std,5.448724778231832,3.2591838945074105,6.038183588543358,3.8146262914073086,0.0,
Châtillon,count,1535.0,1535.0,1535.0,1535.0,1535.0,1535
Châtillon,mean,1.1785016286644951,1.4286644951140066,2.6071661237785015,26.710097719869708,1.0,2023-05-31 14:28:25.342671104
Châtillon,min,0.0,0.0,0.0,15.0,1.0,2023-05-28 10:50:33
Châtillon,25%,0.0,0.0,1.0,22.0,1.0,2023-05-29 13:20:33
Châtillon,50%,1.0,1.0,2.0,25.0,1.0,2023-05-31 09:12:49
Châtillon,75%,2.0,2.0,4.0,27.0,1.0,2023-06-02 21:08:19
Châtillon,max,9.0,13.0,15.0,45.0,1.0,2023-06-03 21:35:37
Châtillon,std,1.5629115997630858,1.8379490089396333,2.469912979353557,6.998788938138804,0.0,
Clamart,count,921.0,921.0,921.0,921.0,921.0,921
Clamart,mean,3.3680781758957656,1.1802388707926168,4.548317046688382,19.030401737242126,1.0,2023-05-31 14:28:24.937025280
Clamart,min,0.0,0.0,0.0,1.0,1.0,2023-05-28 10:50:33
Clamart,25%,0.0,0.0,1.0,13.0,1.0,2023-05-29 13:20:33
Clamart,50%,2.0,0.0,4.0,21.0,1.0,2023-05-31 09:12:49
Clamart,75%,5.0,2.0,7.0,25.0,1.0,2023-06-02 21:08:18
Clamart,max,15.0,9.0,22.0,31.0,1.0,2023-06-03 21:35:37
Clamart,std,3.598040151667616,1.8899276347569114,4.6311914951327084,7.335526177102329,0.0,
Clichy,count,3991.0,3991.0,3991.0,3991.0,3991.0,3991
Clichy,mean,2.6670007516913055,5.337509396141318,8.004510147832624,23.414181909295916,1.0,2023-05-31 14:28:24.961413376
Clichy,min,0.0,0.0,0.0,1.0,1.0,2023-05-28 10:50:33
Clichy,25%,1.0,2.0,3.0,15.0,1.0,2023-05-29 13:20:33
Clichy,50%,2.0,4.0,6.0,21.0,1.0,2023-05-31 09:12:49
Clichy,75%,4.0,7.0,12.0,29.0,1.0,2023-06-02 21:08:19
Clichy,max,26.0,33.0,44.0,53.0,1.0,2023-06-03 21:35:37
