,,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,status,status,status,status,status,status,status,status,last_update,last_update,last_update,last_update,last_update,last_update,last_update,last_update
,,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std,count,mean,min,25%,50%,75%,max,std
station_id,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10026,Gare de l'Est - Chateau Landon,307.0,1.6905537459283388,0.0,1.0,1.0,2.0,12.0,1.9042458629973331,307.0,1.4364820846905537,0.0,0.0,1.0,2.0,10.0,1.3926879552473572,307.0,3.1270358306188926,0.0,1.0,2.0,4.0,17.0,2.7128630913311387,307.0,53.042345276872965,39.0,52.0,54.0,55.0,58.0,3.1125140162430305,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:25.400651520,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:50,2023-06-02 21:03:18,2023-06-03 21:35:37,
10027,Dunkerque - Alsace,307.0,1.0749185667752443,0.0,0.0,1.0,1.0,5.0,1.238379809335766,307.0,0.8599348534201955,0.0,0.0,0.0,1.0,5.0,1.2871628611159396,307.0,1.9348534201954397,0.0,1.0,1.0,2.0,9.0,2.1997452826428576,307.0,17.710097719869708,10.0,17.0,19.0,19.0,20.0,2.2616428590279614,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:25.149837056,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:17.500000,2023-06-03 21:35:37,
10028,Gare du Nord - Dunkerque,307.0,3.035830618892508,0.0,1.0,2.0,3.0,14.0,3.15120366213228,307.0,0.7719869706840391,0.0,0.0,1.0,1.0,7.0,1.054153143287485,307.0,3.807817589576547,0.0,1.0,2.0,5.0,15.0,3.4958711584038937,307.0,25.185667752442995,14.0,24.0,27.0,28.0,29.0,3.4924834966278846,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:25.371335424,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:18,2023-06-03 21:35:37,
10029,Dunkerque - Rocroy,307.0,1.1758957654723128,0.0,1.0,1.0,1.0,4.0,0.9776950830264859,307.0,0.6221498371335505,0.0,0.0,0.0,1.0,5.0,0.8932744001403219,307.0,1.798045602605863,0.0,1.0,2.0,2.0,9.0,1.4251233490491655,307.0,20.35830618892508,14.0,19.0,21.0,22.0,23.0,1.8208903223623005,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:24.563517952,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:48,2023-06-02 21:03:16.500000,2023-06-03 21:35:37,
1003,Saint-Denis - Rivoli,307.0,17.827361563517915,2.0,7.0,13.0,27.0,42.0,12.937487982737805,307.0,24.71661237785016,0.0,15.0,23.0,33.0,58.0,13.05698236525243,307.0,42.54397394136808,4.0,25.5,41.0,63.0,75.0,21.267680560977098,307.0,11.90228013029316,2.0,4.0,7.0,16.0,40.0,9.903631802959499,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:25.267100928,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:17.500000,2023-06-03 21:35:37,
10031,Louis Blanc - Aqueduc,307.0,2.0977198697068404,0.0,1.0,2.0,2.0,9.0,1.4519182757443705,307.0,1.745928338762215,1.0,1.0,2.0,2.0,9.0,1.1378548938919089,307.0,3.8436482084690553,1.0,3.0,4.0,4.0,15.0,1.9507792259137333,307.0,31.019543973941367,20.0,31.0,31.0,32.0,34.0,1.9401862454871748,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:25.325732864,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:17.500000,2023-06-03 21:35:37,
10032,Claude Vellefaux - Hôpital Saint-Louis,307.0,1.3973941368078175,0.0,1.0,1.0,2.0,8.0,1.4791778268669802,307.0,1.6710097719869708,0.0,0.0,1.0,2.0,9.0,1.7412451286201525,307.0,3.0684039087947883,0.0,2.0,3.0,3.0,15.0,2.342812341266346,307.0,28.19869706840391,15.0,28.0,29.0,30.0,32.0,2.5236654266582828,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:25.094462464,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:17.500000,2023-06-03 21:35:37,
10033,Gare du Nord - Saint-Vincent de Paul,307.0,0.9511400651465798,0.0,0.0,1.0,1.0,4.0,0.983968058652496,307.0,0.34527687296416937,0.0,0.0,0.0,0.0,5.0,0.7908807274498649,307.0,1.296416938110749,0.0,0.0,1.0,2.0,8.0,1.3160969959386348,307.0,21.57328990228013,14.0,21.0,22.0,22.0,23.0,1.3709175606744837,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:25.084690432,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:17.500000,2023-06-03 21:35:37,
10034,Louis Blanc - La Chapelle,307.0,1.4169381107491856,0.0,0.0,1.0,2.0,8.0,1.5869483209233333,307.0,0.8599348534201955,0.0,0.0,0.0,1.0,5.0,1.2139941083417412,307.0,2.2768729641693812,0.0,0.0,1.0,3.0,13.0,2.4927776708902254,307.0,18.175895765472312,7.0,16.0,19.0,20.0,21.0,2.655922982893224,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:25.127035648,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:17.500000,2023-06-03 21:35:37,
10036,Aqueduc - Villette,307.0,2.8631921824104234,1.0,2.0,2.0,3.0,9.0,1.6171609024812124,307.0,0.7296416938110749,0.0,0.0,0.0,1.0,4.0,0.9677145445969967,307.0,3.592833876221498,1.0,2.0,3.0,4.0,13.0,2.175400372230879,307.0,22.80130293159609,12.0,22.0,24.0,24.0,26.0,2.205814863458428,307.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,307,2023-05-31 14:28:24.817589504,2023-05-28 10:50:33,2023-05-29 13:25:34,2023-05-31 09:12:49,2023-06-02 21:03:17.500000,2023-06-03 21:35:37,
