,,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,status,status,status,status,status,status,status,status
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
station_id,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10033,Gare du Nord - Saint-Vincent de Paul,252.0,0.9761904761904762,1.0893492755091738,0.0,0.0,1.0,2.0,6.0,252.0,0.4880952380952381,0.7599651011967555,0.0,0.0,0.0,1.0,3.0,252.0,1.4642857142857142,1.29152704859221,0.0,0.0,1.0,2.0,6.0,252.0,20.535714285714285,1.6944702323267058,15.0,19.0,21.0,22.0,23.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10034,Louis Blanc - La Chapelle,252.0,1.9801587301587302,2.2590242169909045,0.0,0.0,1.0,3.0,10.0,252.0,2.0317460317460316,2.7970858709567894,0.0,0.0,1.0,2.0,12.0,252.0,4.011904761904762,4.351564395948747,0.0,1.0,2.0,5.0,18.0,252.0,16.03968253968254,4.492403138031395,1.0,14.0,18.0,19.0,21.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10036,Aqueduc - Villette,252.0,2.373015873015873,1.9869459516772179,0.0,1.0,2.0,3.0,10.0,252.0,1.0992063492063493,1.4317401460099448,0.0,0.0,1.0,2.0,8.0,252.0,3.4722222222222223,2.600034902888281,0.0,1.0,3.0,5.0,12.0,252.0,22.599206349206348,2.801905897500054,14.0,21.0,23.0,25.0,27.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10037,Quai de Valmy,252.0,3.1785714285714284,2.8668765613442795,0.0,1.0,3.0,4.0,17.0,252.0,1.246031746031746,1.7749317160380385,0.0,0.0,1.0,2.0,8.0,252.0,4.424603174603175,3.9365320654682847,0.0,2.0,3.0,6.0,23.0,252.0,20.13095238095238,4.120050366878036,1.0,18.0,21.0,23.0,25.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10038,Place du Colonel Fabien,252.0,2.7817460317460316,2.5986481558748964,0.0,1.0,2.0,4.0,15.0,252.0,1.1428571428571428,1.4570301383746471,0.0,0.0,1.0,2.0,8.0,252.0,3.9246031746031744,3.37530725195344,0.0,2.0,3.0,5.0,20.0,252.0,21.50793650793651,3.425347353185747,7.0,20.0,22.0,24.0,27.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10039,Sambre et Meuse - Villette,252.0,3.242063492063492,3.1561197916712525,0.0,1.0,2.0,4.0,16.0,252.0,1.1071428571428572,1.350973004612529,0.0,0.0,1.0,2.0,7.0,252.0,4.349206349206349,3.931317633027425,0.0,2.0,3.0,5.0,21.0,252.0,20.345238095238095,3.96346074266198,4.0,19.0,21.0,23.0,25.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10041,Gare du Nord - La Chapelle,252.0,1.7261904761904763,1.8999970044609882,0.0,0.0,1.0,2.0,8.0,252.0,1.3134920634920635,1.6845136281085333,0.0,0.0,1.0,2.0,7.0,252.0,3.0396825396825395,3.2551541567299687,0.0,1.0,2.0,4.0,14.0,252.0,14.384920634920634,3.307400068452499,4.0,13.0,15.0,17.0,18.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10042,Enghien - Faubourg Poissonnière,252.0,2.5833333333333335,2.6981253636715343,0.0,0.0,2.0,4.0,10.0,252.0,5.261904761904762,5.052203292665041,0.0,1.0,4.0,6.0,18.0,252.0,7.845238095238095,7.098331627592222,0.0,3.0,5.0,12.0,26.0,252.0,24.74206349206349,7.037813101732444,7.0,21.0,27.5,30.0,33.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1006,Grande Truanderie - Saint-Denis,252.0,6.309523809523809,4.2519539182517985,0.0,3.0,5.0,8.0,18.0,252.0,13.896825396825397,8.379760634297222,0.0,7.0,13.5,22.0,29.0,252.0,20.206349206349206,9.407395124738175,1.0,12.0,23.0,28.0,32.0,252.0,10.984126984126984,9.41980969938647,1.0,2.0,8.0,19.25,31.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1007,Turbigo - Française,252.0,3.5793650793650795,2.411305293978289,0.0,2.0,3.0,5.0,11.0,252.0,6.972222222222222,3.1966152140841984,0.0,5.0,7.0,9.0,14.0,252.0,10.551587301587302,3.4826429979703937,0.0,8.0,11.0,13.0,15.0,252.0,5.087301587301587,3.4131684086744922,1.0,2.0,4.0,8.0,16.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
